ELEXM_SETTLEMENT_DATE,ELEXM_SETTLEMENT_PERIOD,ELEXM_utc,ELEXM_localtime,ELEXM_ROWFLAG,NGEM_ROWFLAG,POWER_ESPENI_MW,POWER_ELEXM_CCGT_MW,POWER_ELEXM_OIL_MW,POWER_ELEXM_COAL_MW,POWER_ELEXM_NUCLEAR_MW,POWER_ELEXM_WIND_MW,POWER_ELEXM_PS_MW,POWER_ELEXM_NPSHYD_MW,POWER_ELEXM_OCGT_MW,POWER_ELEXM_OTHER_POSTCALC_MW,POWER_ELEXM_BIOMASS_POSTCALC_MW,POWER_NGEM_EMBEDDED_SOLAR_GENERATION_MW,POWER_NGEM_EMBEDDED_WIND_GENERATION_MW,POWER_NGEM_BRITNED_FLOW_MW,POWER_NGEM_EAST_WEST_FLOW_MW,POWER_NGEM_MOYLE_FLOW_MW,POWER_NGEM_NEMO_FLOW_MW,POWER_NGEM_IFA_FLOW_MW,POWER_NGEM_IFA2_FLOW_MW,POWER_NGEM_NSL_FLOW_MW
25/05/2020,10,2020-05-25T03:30:00+00:00,2020-05-25T04:30:00+01:00,1,1,18416,6796,0,0,5246,1911,0,624,2,178,1746,0,613,129,343,326,229,274,-1,
12/07/2020,11,2020-07-12T04:00:00+00:00,2020-07-12T05:00:00+01:00,1,1,18426,6292,0,0,5331,1527,0,284,0,118,1849,44,638,568,0,18,688,1070,-1,
12/07/2020,10,2020-07-12T03:30:00+00:00,2020-07-12T04:30:00+01:00,1,1,18460,6428,0,0,5321,1536,0,265,0,118,1926,0,651,418,0,41,688,1069,-1,
25/05/2020,11,2020-05-25T04:00:00+00:00,2020-05-25T05:00:00+01:00,1,1,18497,6799,0,0,5246,1724,0,634,2,227,1689,52,622,279,479,400,623,-278,-1,
14/06/2020,10,2020-06-14T03:30:00+00:00,2020-06-14T04:30:00+01:00,1,1,18586,6711,0,0,4727,1300,0,182,0,114,2263,1,586,690,-7,-37,687,1370,-1,
12/06/2022,11,2022-06-12T04:00:00+00:00,2022-06-12T05:00:00+01:00,1,1,18588,4498,0,0,6189,7866,148,121,0,228,1398,81,2219,-1073,200,248,-1021,-1031,-1028,-455
19/06/2022,11,2022-06-19T04:00:00+00:00,2022-06-19T05:00:00+01:00,1,1,18590,4081,0,0,5697,7070,0,82,3,114,620,64,1900,377,0,144,-59,-628,-870,-5
14/06/2020,11,2020-06-14T04:00:00+00:00,2020-06-14T05:00:00+01:00,1,1,18670,6998,0,0,4723,1216,0,182,0,113,2251,41,574,690,-112,-62,687,1370,-1,
12/06/2022,10,2022-06-12T03:30:00+00:00,2022-06-12T04:30:00+01:00,1,1,18672,4385,0,0,6187,8195,100,121,1,205,1387,3,2246,-1014,200,247,-1021,-1031,-1028,-511
12/07/2020,12,2020-07-12T04:30:00+00:00,2020-07-12T05:30:00+01:00,1,1,18679,6357,0,0,5329,1443,0,289,0,119,1827,294,626,580,0,59,687,1070,-1,
25/05/2020,12,2020-05-25T04:30:00+00:00,2020-05-25T05:30:00+01:00,1,1,18703,6782,0,0,5243,1624,0,634,2,214,1752,319,632,285,482,401,639,-305,-1,
7/08/2022,12,2022-08-07T04:30:00+00:00,2022-08-07T05:30:00+01:00,1,1,18706,5358,0,0,4872,4557,0,102,0,142,895,7,1383,137,0,-15,398,521,428,-79
29/05/2022,11,2022-05-29T04:00:00+00:00,2022-05-29T05:00:00+01:00,1,1,18709,4451,0,0,5150,6350,0,220,0,106,369,28,1187,253,0,15,800,121,-340,-1
25/05/2020,9,2020-05-25T03:00:00+00:00,2020-05-25T04:00:00+01:00,1,1,18716,6765,0,0,5245,2013,224,512,3,212,1750,0,626,135,350,328,246,308,-1,
20/06/2020,10,2020-06-20T03:30:00+00:00,2020-06-20T04:30:00+01:00,1,1,18790,5718,0,0,5033,3018,0,140,0,114,1437,8,877,540,1,-55,593,1367,-1,
19/06/2022,12,2022-06-19T04:30:00+00:00,2022-06-19T05:30:00+01:00,1,1,18793,4307,0,0,5701,6739,0,85,3,108,618,313,1879,403,0,190,-65,-625,-874,11
18/09/2022,7,2022-09-18T02:00:00+00:00,2022-09-18T03:00:00+01:00,1,1,18800,3724,0,468,4307,6484,0,48,0,121,770,0,1218,854,0,-309,807,-105,226,187
31/05/2020,11,2020-05-31T04:00:00+00:00,2020-05-31T05:00:00+01:00,1,1,18815,4270,0,0,4549,5590,0,45,2,155,1442,67,1552,452,-155,-73,687,233,-1,
30/05/2020,11,2020-05-30T04:00:00+00:00,2020-05-30T05:00:00+01:00,1,1,18818,4920,0,0,4819,3602,0,158,2,141,2409,79,1341,213,0,344,474,317,-1,
18/09/2022,10,2022-09-18T03:30:00+00:00,2022-09-18T04:30:00+01:00,1,1,18822,3545,0,460,4314,6819,0,48,0,113,766,0,1214,795,0,-243,511,-68,326,222
13/06/2020,10,2020-06-13T03:30:00+00:00,2020-06-13T04:30:00+01:00,1,1,18839,6357,0,0,4468,3176,0,165,0,114,1337,0,1060,359,470,319,493,522,-1,
28/06/2020,9,2020-06-28T03:00:00+00:00,2020-06-28T04:00:00+01:00,1,1,18846,4717,0,0,4498,7908,0,131,0,114,732,0,3088,-656,293,86,-683,-1381,-1,
15/06/2020,11,2020-06-15T04:00:00+00:00,2020-06-15T05:00:00+01:00,1,1,18865,8538,0,0,4339,292,4,147,0,115,2280,63,274,3,431,260,468,1652,-1,
17/05/2020,11,2020-05-17T04:00:00+00:00,2020-05-17T05:00:00+01:00,1,1,18881,5543,0,0,5776,3193,0,106,0,130,1765,8,1050,253,-65,98,359,666,-1,
17/05/2020,12,2020-05-17T04:30:00+00:00,2020-05-17T05:30:00+01:00,1,1,18892,5570,0,0,5771,3107,0,106,0,149,1762,126,1076,246,-136,98,348,670,-1,
18/09/2022,9,2022-09-18T03:00:00+00:00,2022-09-18T04:00:00+01:00,1,1,18892,3850,0,462,4313,6525,0,48,0,115,768,0,1228,797,0,-202,522,-67,323,210
28/06/2020,10,2020-06-28T03:30:00+00:00,2020-06-28T04:30:00+01:00,1,1,18896,4765,0,0,4496,7888,0,125,0,114,731,2,3118,-655,292,85,-683,-1381,-1,
30/05/2020,10,2020-05-30T03:30:00+00:00,2020-05-30T04:30:00+01:00,1,1,18897,4678,0,0,4723,3588,0,142,2,138,2429,2,1325,102,4,395,34,1336,-1,
13/06/2020,11,2020-06-13T04:00:00+00:00,2020-06-13T05:00:00+01:00,1,1,18899,6380,0,0,4469,3184,0,165,0,113,1364,38,1061,282,432,319,494,599,-1,
26/05/2020,11,2020-05-26T04:00:00+00:00,2020-05-26T05:00:00+01:00,1,1,18900,4693,0,0,5229,2176,0,287,2,143,2458,27,757,794,1,82,750,1502,-1,
2/08/2020,11,2020-08-02T04:00:00+00:00,2020-08-02T05:00:00+01:00,1,1,18910,6965,0,0,5289,3493,0,178,0,144,1693,0,822,362,63,400,147,-645,-1,
19/06/2022,10,2022-06-19T03:30:00+00:00,2022-06-19T04:30:00+01:00,1,1,18911,3825,0,0,5699,7687,0,82,4,115,591,1,1921,103,0,37,105,-584,-670,-5
12/04/2020,10,2020-04-12T03:30:00+00:00,2020-04-12T04:30:00+01:00,1,1,18915,7022,0,0,5243,1650,0,470,4,157,1195,0,732,689,0,-304,688,1370,-1,
7/08/2022,11,2022-08-07T04:00:00+00:00,2022-08-07T05:00:00+01:00,1,1,18917,5520,0,0,4862,4607,0,100,0,146,891,0,1403,138,0,-15,400,527,414,-76
28/06/2020,11,2020-06-28T04:00:00+00:00,2020-06-28T05:00:00+01:00,1,1,18919,4776,0,0,4498,7727,0,134,0,113,766,62,3184,-656,293,77,-673,-1381,-1,
25/05/2020,8,2020-05-25T02:30:00+00:00,2020-05-25T03:30:00+01:00,1,1,18920,6246,0,0,5246,2142,0,459,2,157,1641,0,639,254,324,307,685,819,-1,
20/06/2020,9,2020-06-20T03:00:00+00:00,2020-06-20T04:00:00+01:00,1,1,18924,5846,0,0,5027,2954,0,208,0,112,1445,0,924,551,38,-147,600,1367,-1,
2/08/2020,12,2020-08-02T04:30:00+00:00,2020-08-02T05:30:00+01:00,1,1,18940,6905,0,0,5293,3573,0,174,0,144,1662,50,842,407,61,401,147,-718,-1,
9/05/2020,11,2020-05-09T04:00:00+00:00,2020-05-09T05:00:00+01:00,1,1,18942,7757,0,0,5513,383,0,190,2,102,1766,1,282,709,0,125,705,1408,-1,
12/07/2020,9,2020-07-12T03:00:00+00:00,2020-07-12T04:00:00+01:00,1,1,18942,6300,0,0,5321,1816,0,265,0,119,2141,0,653,423,0,133,682,1090,-1,
23/08/2020,11,2020-08-23T04:00:00+00:00,2020-08-23T05:00:00+01:00,1,1,18945,4822,0,0,2558,7455,0,138,0,146,1349,0,1514,3,0,92,639,230,-1,
14/06/2020,9,2020-06-14T03:00:00+00:00,2020-06-14T04:00:00+01:00,1,1,18948,7028,0,0,4723,1309,0,182,0,114,2280,0,594,690,0,-27,686,1370,-1,
18/09/2022,8,2022-09-18T02:30:00+00:00,2022-09-18T03:30:00+01:00,1,1,18948,3800,0,473,4310,6576,0,48,0,126,770,0,1241,845,0,-344,805,-112,222,188
25/05/2020,7,2020-05-25T02:00:00+00:00,2020-05-25T03:00:00+01:00,1,1,18949,6096,0,0,5243,2291,148,461,2,153,1513,0,667,254,322,288,688,824,-1,
23/08/2020,12,2020-08-23T04:30:00+00:00,2020-08-23T05:30:00+01:00,1,1,18961,4942,0,0,2697,7243,0,135,0,147,1344,0,1460,0,14,98,638,244,-1,
26/05/2020,10,2020-05-26T03:30:00+00:00,2020-05-26T04:30:00+01:00,1,1,18980,4994,0,0,5233,2315,0,279,1,144,2458,0,766,690,0,-19,751,1369,-1,
29/05/2022,10,2022-05-29T03:30:00+00:00,2022-05-29T04:30:00+01:00,1,1,18981,4787,0,0,5149,5960,0,190,0,87,371,3,1174,210,0,15,971,105,-40,-1
20/06/2020,11,2020-06-20T04:00:00+00:00,2020-06-20T05:00:00+01:00,1,1,18989,5466,0,0,5028,3280,0,137,0,113,1435,100,862,678,44,75,681,1091,-1,
31/05/2020,12,2020-05-31T04:30:00+00:00,2020-05-31T05:30:00+01:00,1,1,18993,4344,0,0,4552,5323,0,42,2,146,1454,340,1533,446,-81,-23,688,228,-1,
20/07/2020,10,2020-07-20T03:30:00+00:00,2020-07-20T04:30:00+01:00,1,1,18999,6498,0,0,5224,2414,0,111,2,121,3035,0,862,-333,-167,-259,48,1444,-1,
26/05/2020,8,2020-05-26T02:30:00+00:00,2020-05-26T03:30:00+01:00,1,1,19003,4916,0,0,5226,2512,0,280,2,144,2450,0,808,689,0,-71,681,1367,-1,
23/06/2020,10,2020-06-23T03:30:00+00:00,2020-06-23T04:30:00+01:00,1,1,19006,5127,0,0,5191,4610,158,256,0,143,1163,3,1502,102,279,81,43,349,-1,
28/06/2020,12,2020-06-28T04:30:00+00:00,2020-06-28T05:30:00+01:00,1,1,19008,4776,0,0,4497,7631,0,144,0,113,788,258,3250,-655,293,-33,-672,-1381,-1,
2/08/2020,9,2020-08-02T03:00:00+00:00,2020-08-02T04:00:00+01:00,1,1,19014,6949,0,0,5284,2977,0,177,0,166,1629,0,796,2,64,400,130,441,-1,
26/07/2020,12,2020-07-26T04:30:00+00:00,2020-07-26T05:30:00+01:00,1,1,19022,5648,0,0,5055,4881,0,225,0,138,1019,81,1425,-454,-101,124,576,406,-1,
12/06/2022,12,2022-06-12T04:30:00+00:00,2022-06-12T05:30:00+01:00,1,1,19024,4651,0,0,6188,7865,66,111,0,342,1390,343,2192,-1066,200,248,-1015,-1031,-1028,-432
18/09/2022,11,2022-09-18T04:00:00+00:00,2022-09-18T05:00:00+01:00,1,1,19032,3660,0,461,4312,7009,0,48,0,114,769,0,1210,730,0,-226,652,-227,190,330
6/08/2022,9,2022-08-06T03:00:00+00:00,2022-08-06T04:00:00+01:00,1,1,19038,9663,0,0,4800,2445,0,81,0,156,1485,0,702,-433,0,14,-67,-209,-448,849
18/09/2022,12,2022-09-18T04:30:00+00:00,2022-09-18T05:30:00+01:00,1,1,19047,3600,0,462,4315,6998,0,48,0,114,768,0,1206,730,0,-156,658,-222,191,335
20/07/2020,7,2020-07-20T02:00:00+00:00,2020-07-20T03:00:00+01:00,1,1,19048,6359,0,0,5116,2357,0,115,0,123,3035,0,905,152,-152,-259,1,1297,-1,
15/05/2022,11,2022-05-15T04:00:00+00:00,2022-05-15T05:00:00+01:00,1,1,19053,13795,0,0,5429,2917,0,199,0,135,441,1,888,-1073,0,136,-1021,-1028,-1028,-738
3/07/2022,12,2022-07-03T04:30:00+00:00,2022-07-03T05:30:00+01:00,1,1,19058,11181,0,0,5059,3482,0,72,0,337,1529,199,990,-1044,504,0,-1021,-978,-1001,-251
12/04/2020,11,2020-04-12T04:00:00+00:00,2020-04-12T05:00:00+01:00,1,1,19063,7192,0,0,5242,1602,0,495,4,157,1197,0,734,700,-64,-253,688,1370,-1,
14/06/2020,8,2020-06-14T02:30:00+00:00,2020-06-14T03:30:00+01:00,1,1,19064,7118,0,0,4728,1194,0,183,0,115,2282,0,602,690,0,97,687,1369,-1,
6/08/2022,12,2022-08-06T04:30:00+00:00,2022-08-06T05:30:00+01:00,1,1,19091,9727,0,0,4802,2290,0,100,0,149,1457,11,719,-386,0,93,-278,-37,-296,740
9/05/2020,12,2020-05-09T04:30:00+00:00,2020-05-09T05:30:00+01:00,1,1,19094,7753,0,0,5507,366,0,197,2,104,1779,93,285,709,0,187,705,1408,-1,
29/06/2020,7,2020-06-29T02:00:00+00:00,2020-06-29T03:00:00+01:00,1,1,19095,4260,0,0,4510,8205,0,184,0,116,851,0,3317,-651,366,-22,-660,-1380,-1,
30/05/2020,9,2020-05-30T03:00:00+00:00,2020-05-30T04:00:00+01:00,1,1,19096,4842,0,0,4668,3649,0,142,2,150,2411,0,1253,102,53,401,54,1370,-1,
12/07/2020,8,2020-07-12T02:30:00+00:00,2020-07-12T03:30:00+01:00,1,1,19098,6288,0,0,5315,1808,0,265,0,121,2152,0,655,490,0,46,590,1369,-1,
26/04/2020,12,2020-04-26T04:30:00+00:00,2020-04-26T05:30:00+01:00,1,1,19099,5698,0,0,5783,1334,0,90,2,154,3019,8,419,689,-52,-100,687,1369,-1,
25/05/2020,6,2020-05-25T01:30:00+00:00,2020-05-25T02:30:00+01:00,1,1,19102,5983,0,0,5245,2485,286,462,2,151,1509,0,695,254,289,230,688,824,-1,
2/08/2020,10,2020-08-02T03:30:00+00:00,2020-08-02T04:30:00+01:00,1,1,19103,6842,0,0,5288,3256,0,177,0,144,1675,0,802,0,19,401,129,371,-1,
26/04/2020,9,2020-04-26T03:00:00+00:00,2020-04-26T04:00:00+01:00,1,1,19108,6045,0,0,5783,1075,0,110,2,155,3060,0,382,689,-66,-183,688,1369,-1,
20/07/2020,8,2020-07-20T02:30:00+00:00,2020-07-20T03:30:00+01:00,1,1,19115,6308,0,0,5140,2469,0,114,0,122,3034,0,897,154,-149,-259,0,1286,-1,
6/08/2022,10,2022-08-06T03:30:00+00:00,2022-08-06T04:30:00+01:00,1,1,19116,9567,0,0,4804,2397,0,80,0,388,1493,0,709,-429,0,16,-74,-210,-457,832
12/04/2020,9,2020-04-12T03:00:00+00:00,2020-04-12T04:00:00+01:00,1,1,19119,7188,0,0,5237,1666,0,467,4,156,1196,0,724,690,0,-266,688,1370,-1,
26/04/2020,10,2020-04-26T03:30:00+00:00,2020-04-26T04:30:00+01:00,1,1,19121,6052,0,0,5779,1199,0,108,3,155,3061,0,395,689,-169,-207,688,1369,-1,
8/05/2020,10,2020-05-08T03:30:00+00:00,2020-05-08T04:30:00+01:00,1,1,19132,7204,0,0,5497,1045,0,124,1,127,1830,0,393,709,0,86,706,1411,-1,
2/06/2020,11,2020-06-02T04:00:00+00:00,2020-06-02T05:00:00+01:00,1,1,19140,8487,0,0,4720,859,0,177,0,177,2445,69,366,-567,60,83,756,1509,-1,
22/05/2022,12,2022-05-22T04:30:00+00:00,2022-05-22T05:30:00+01:00,1,1,19150,10317,0,0,4936,5232,0,155,1,172,459,207,1490,-1074,489,246,-1021,-719,-1028,-712
20/06/2020,12,2020-06-20T04:30:00+00:00,2020-06-20T05:30:00+01:00,1,1,19153,5631,0,0,5023,2875,0,139,0,113,1456,349,847,690,81,191,688,1071,-1,
26/06/2022,10,2022-06-26T03:30:00+00:00,2022-06-26T04:30:00+01:00,1,1,19154,4721,0,0,5067,10523,0,82,0,111,570,3,2303,-1075,504,246,-1021,-1031,-1028,-821
11/07/2020,11,2020-07-11T04:00:00+00:00,2020-07-11T05:00:00+01:00,1,1,19162,5621,0,0,5332,4181,0,248,0,119,1368,29,1217,-300,0,72,-90,1366,-1,
26/05/2020,7,2020-05-26T02:00:00+00:00,2020-05-26T03:00:00+01:00,1,1,19164,4777,0,0,5232,2643,0,281,2,145,2453,0,829,690,20,45,681,1367,-1,
30/05/2020,12,2020-05-30T04:30:00+00:00,2020-05-30T05:30:00+01:00,1,1,19168,4964,0,0,4813,3567,0,166,2,135,2401,368,1357,220,65,377,493,241,-1,
30/05/2020,8,2020-05-30T02:30:00+00:00,2020-05-30T03:30:00+01:00,1,1,19172,4440,0,0,4675,3748,0,142,2,140,2413,0,1181,102,3,401,556,1370,-1,
20/06/2020,8,2020-06-20T02:30:00+00:00,2020-06-20T03:30:00+01:00,1,1,19183,5862,0,0,5031,3171,0,148,0,107,1446,0,971,690,0,-298,688,1368,-1,
15/05/2022,12,2022-05-15T04:30:00+00:00,2022-05-15T05:30:00+01:00,1,1,19185,13804,0,0,5438,2906,0,199,0,130,432,28,920,-1075,0,216,-1021,-1026,-1028,-738
19/07/2020,12,2020-07-19T04:30:00+00:00,2020-07-19T05:30:00+01:00,1,1,19188,4765,0,0,5119,4344,0,128,0,119,2400,84,1124,173,18,200,-37,752,-1,
13/07/2020,11,2020-07-13T04:00:00+00:00,2020-07-13T05:00:00+01:00,1,1,19203,6608,0,0,5322,3980,0,237,1,124,1610,23,1352,103,429,295,-14,-866,-1,
28/06/2020,8,2020-06-28T02:30:00+00:00,2020-06-28T03:30:00+01:00,1,1,19205,4704,0,0,4503,8300,0,131,0,115,732,0,3058,-656,292,91,-683,-1381,-1,
